CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,LOAI_TBI,KIEU_LBS,TTKN,CTSC,KIEU_DHQ,MT_CD,UDM,IDM,DBDATSCN,KCRTT,SCKTTDC,KNGSDK,DB_DA_XUNG,I_CATNM_DM,VLBS,KIEU_DK
0022D00_LBS,USING,HSX.00302,2016,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501426,EVN.CO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,1000,PE-2168,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00003
0022D00_LBS,USING,HSX.00375,1996,TB040.00141,TB0632,TBI_TT_LBS_LOAI.6,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,10000,PE-2169,125,TBI_TT_KNCDNM.00008,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,RETIRE,HSX.00035,2004,TB040.00012,TB0632,TBI_TT_LBS_LOAI.19,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,5000,PE-2169,125,TBI_TT_KNCDNM.00008,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2014,TB040.00141,TB0632,TBI_TT_LBS_LOAI.18,PB-501424,PB-501427,EVN.KO,PE-2164,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,3,PE-2169,126,TBI_TT_KNCDNM.00008,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00290,2017,TB040.00001,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,100,PE-2168,300,TBI_TT_KNCDNM.00008,PB-500064,TBI_TT_CC_DK.00003
0022D00_LBS,USING,HSX.00126,2008,TB040.00012,TB0632,TBI_TT_LBS_LOAI.19,PB-501424,PB-501427,EVN.KO,PE-2164,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,1,PE-2169,125,TBI_TT_KNCDNM.00008,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00375,2006,TB040.00141,TB0631,TBI_TT_LBS_LOAI.23,PB-501424,PB-501426,EVN.CO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,50,PE-2169,125,TBI_TT_KNCDNM.00027,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00051,2010,TB040.00016,TB0631,TBI_TT_LBS_LOAI.15,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,5000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00046,2003,TB040.00016,TB0632,TBI_TT_LBS_LOAI.4,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,1000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00035,2017,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.CO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,10000,PE-2169,125,TBI_TT_KNCDNM.00027,PB-500062,TBI_TT_CC_DK.00003
